id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity
1895,2/27/2018,1977,135,Month 5,-77,-10,727,NaN,Sunny
1893,2/26/2018,1976,135,Month 5,-77,-10,728,NaN,Sunny
1894,2/25/2018,1975,134,Month 5,-76,-16,729,NaN,Sunny
1892,2/24/2018,1974,134,Month 5,-77,-13,729,NaN,Sunny
1889,2/23/2018,1973,133,Month 5,-78,-18,730,NaN,Sunny
1891,2/22/2018,1972,133,Month 5,-78,-14,730,NaN,Sunny
1890,2/21/2018,1971,132,Month 5,-78,-13,731,NaN,Sunny
1888,2/20/2018,1970,132,Month 5,-77,-16,731,NaN,Sunny
1887,2/19/2018,1969,131,Month 5,-76,-16,732,NaN,Sunny
1886,2/18/2018,1968,131,Month 5,-76,-19,732,NaN,Sunny
1885,2/17/2018,1967,130,Month 5,-76,-15,734,NaN,Sunny
1884,2/16/2018,1966,130,Month 5,-77,-18,735,NaN,Sunny
1883,2/15/2018,1965,129,Month 5,-76,-12,735,NaN,Sunny
1882,2/14/2018,1964,129,Month 5,-76,-16,736,NaN,Sunny
1881,2/13/2018,1963,128,Month 5,-77,-14,737,NaN,Sunny
1880,2/12/2018,1962,128,Month 5,-78,-14,738,NaN,Sunny
1877,2/11/2018,1961,127,Month 5,-77,-21,740,NaN,Sunny
1876,2/9/2018,1960,127,Month 5,-78,-14,740,NaN,Sunny
1878,2/8/2018,1959,126,Month 5,-78,-15,740,NaN,Sunny
1874,2/7/2018,1958,126,Month 5,-77,-14,741,NaN,Sunny
1875,2/6/2018,1957,125,Month 5,-77,-21,742,NaN,Sunny
1879,2/5/2018,1956,125,Month 5,-79,-14,744,NaN,Sunny
1873,2/4/2018,1955,124,Month 5,-77,-21,745,NaN,Sunny
1872,2/3/2018,1954,124,Month 5,-77,-17,745,NaN,Sunny
1870,2/2/2018,1953,123,Month 5,-78,-22,747,NaN,Sunny
1871,2/1/2018,1952,123,Month 5,-80,-25,748,NaN,Sunny
1869,1/31/2018,1951,122,Month 5,-77,-23,749,NaN,Sunny
1868,1/30/2018,1950,122,Month 5,-79,-15,750,NaN,Sunny
1867,1/29/2018,1949,121,Month 5,-78,-20,751,NaN,Sunny
1866,1/28/2018,1948,121,Month 5,-78,-18,752,NaN,Sunny
1865,1/27/2018,1947,120,Month 5,-78,-19,751,NaN,Sunny
1864,1/26/2018,1946,120,Month 5,-79,-20,753,NaN,Sunny
1862,1/25/2018,1945,119,Month 4,-78,-22,754,NaN,Sunny
1861,1/24/2018,1944,119,Month 4,-80,-21,755,NaN,Sunny
1863,1/23/2018,1943,118,Month 4,-78,-28,756,NaN,Sunny
1860,1/22/2018,1942,118,Month 4,-78,-27,757,NaN,Sunny
1856,1/21/2018,1941,117,Month 4,-77,-20,758,NaN,Sunny
1858,1/20/2018,1940,117,Month 4,-77,-19,759,NaN,Sunny
1857,1/19/2018,1939,116,Month 4,-78,-20,760,NaN,Sunny
1859,1/18/2018,1938,116,Month 4,-78,-24,762,NaN,Sunny
1854,1/17/2018,1937,116,Month 4,-80,-22,763,NaN,Sunny
1855,1/16/2018,1936,115,Month 4,-79,-20,764,NaN,Sunny
1853,1/15/2018,1935,115,Month 4,-80,-21,765,NaN,Sunny
1851,1/14/2018,1934,114,Month 4,-79,-21,766,NaN,Sunny
